"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000007350",1.73767343371992,-2.88318346722714,4.22375194672398,-0.68261192977097,0.49485209373407,NA
"ENSG00000127743",1.73767343371992,-2.88318346722714,4.22375194672398,-0.68261192977097,0.49485209373407,NA
"ENSG00000182511",1.73767343371992,-2.88318346722714,4.22375194672398,-0.68261192977097,0.49485209373407,NA
"ENSG00000196114",1.73767343371992,-2.88318346722714,4.22375194672398,-0.68261192977097,0.49485209373407,NA
"ENSG00000202474",1.73767343371992,-2.88318346722714,4.22375194672398,-0.68261192977097,0.49485209373407,NA
"ENSG00000206647",1.73767343371992,-2.88318346722714,4.22375194672398,-0.68261192977097,0.49485209373407,NA
"ENSG00000215237",1.73767343371992,-2.88318346722714,4.22375194672398,-0.68261192977097,0.49485209373407,NA
"ENSG00000231171",1.73767343371992,-2.88318346722714,4.22375194672398,-0.68261192977097,0.49485209373407,NA
"ENSG00000237899",1.73767343371992,-2.88318346722714,4.22375194672398,-0.68261192977097,0.49485209373407,NA
"ENSG00000243697",1.73767343371992,-2.88318346722714,4.22375194672398,-0.68261192977097,0.49485209373407,NA
"ENSG00000247372",1.73767343371992,-2.88318346722714,4.22375194672398,-0.68261192977097,0.49485209373407,NA
"ENSG00000250474",1.73767343371992,-2.88318346722714,4.22375194672398,-0.68261192977097,0.49485209373407,NA
"ENSG00000253616",1.73767343371992,-2.88318346722714,4.22375194672398,-0.68261192977097,0.49485209373407,NA
"ENSG00000253865",1.73767343371992,-2.88318346722714,4.22375194672398,-0.68261192977097,0.49485209373407,NA
"ENSG00000255362",1.73767343371992,-2.88318346722714,4.22375194672398,-0.68261192977097,0.49485209373407,NA
"ENSG00000259728",1.73767343371992,-2.88318346722714,4.22375194672398,-0.68261192977097,0.49485209373407,NA
"ENSG00000267175",1.73767343371992,-2.88318346722714,4.22375194672398,-0.68261192977097,0.49485209373407,NA
"ENSG00000273233",1.73767343371992,-2.88318346722714,4.22375194672398,-0.68261192977097,0.49485209373407,NA
"ENSG00000274594",1.73767343371992,-2.88318346722714,4.22375194672398,-0.68261192977097,0.49485209373407,NA
"ENSG00000276680",1.73767343371992,-2.88318346722714,4.22375194672398,-0.68261192977097,0.49485209373407,NA
"ENSG00000284964",1.73767343371992,-2.88318346722714,4.22375194672398,-0.68261192977097,0.49485209373407,NA
"ENSG00000288063",1.73767343371992,-2.88318346722714,4.22375194672398,-0.68261192977097,0.49485209373407,NA
"ENSG00000289886",1.73767343371992,-2.88318346722714,4.22375194672398,-0.68261192977097,0.49485209373407,NA
"ENSG00000168758",378.234060879168,0.640131473119686,0.937859934872123,0.682544854852945,0.49489449008055,0.626063831880622
"ENSG00000164691",5.04487862825384,2.73025113539878,4.00034507282915,0.682503905461305,0.494920374101759,0.626063831880622
"ENSG00000177119",2321.30829332701,0.484633945611848,0.71042871341702,0.682171112258195,0.495130758787598,0.626264193265978
"ENSG00000169230",1660.99436279102,-0.421582792489989,0.61800186146031,-0.682170748634653,0.495130988688687,0.626264193265978
"ENSG00000163904",1342.7129577917,0.427077587614178,0.626152764545336,0.68206612155468,0.495197141558712,0.62631483642589
"ENSG00000007952",1.73224691732803,-2.87879725240941,4.22380565825658,-0.681564798508667,0.495514180045741,NA
"ENSG00000115523",1.73224691732803,-2.87879725240941,4.22380565825658,-0.681564798508667,0.495514180045741,NA
"ENSG00000131484",1.73224691732803,-2.87879725240941,4.22380565825658,-0.681564798508667,0.495514180045741,NA
"ENSG00000136297",1.73224691732803,-2.87879725240941,4.22380565825658,-0.681564798508667,0.495514180045741,NA
"ENSG00000153446",1.73224691732803,-2.87879725240941,4.22380565825658,-0.681564798508667,0.495514180045741,NA
"ENSG00000170967",1.73224691732803,-2.87879725240941,4.22380565825658,-0.681564798508667,0.495514180045741,NA
"ENSG00000201619",1.73224691732803,-2.87879725240941,4.22380565825658,-0.681564798508667,0.495514180045741,NA
"ENSG00000204194",1.73224691732803,-2.87879725240941,4.22380565825658,-0.681564798508667,0.495514180045741,NA
"ENSG00000206624",1.73224691732803,-2.87879725240941,4.22380565825658,-0.681564798508667,0.495514180045741,NA
"ENSG00000213287",1.73224691732803,-2.87879725240941,4.22380565825658,-0.681564798508667,0.495514180045741,NA
